Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P01;LEGA PER SALVINI PREMIER;SIMONETTA MATONE
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P01;LEGA PER SALVINI PREMIER;FABRIZIO SANTORI
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P01;LEGA PER SALVINI PREMIER;BARBARA SALTAMARTINI
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P01;LEGA PER SALVINI PREMIER;FELICE MARIANI
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P02;LEGA PER SALVINI PREMIER;ANTONIO ANGELUCCI
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P02;LEGA PER SALVINI PREMIER;MONICA PICCA
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P02;LEGA PER SALVINI PREMIER;MAURIZIO POLITI
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P02;LEGA PER SALVINI PREMIER;ILARIA NERI
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P03;LEGA PER SALVINI PREMIER;SIMONETTA MATONE
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P03;LEGA PER SALVINI PREMIER;ALFREDO MARIA BECCHETTI
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P03;LEGA PER SALVINI PREMIER;SARA DE ANGELIS
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P03;LEGA PER SALVINI PREMIER;MARCO PIETRANDREA
CAMERA DEI DEPUTATI;LAZIO 2;LAZIO 2 - P01;LEGA PER SALVINI PREMIER;UMBERTO FUSCO
CAMERA DEI DEPUTATI;LAZIO 2;LAZIO 2 - P01;LEGA PER SALVINI PREMIER;ROBERTA CUNEO
CAMERA DEI DEPUTATI;LAZIO 2;LAZIO 2 - P01;LEGA PER SALVINI PREMIER;MARCO RIEZZO
CAMERA DEI DEPUTATI;LAZIO 2;LAZIO 2 - P02;LEGA PER SALVINI PREMIER;ANTONIO ANGELUCCI
CAMERA DEI DEPUTATI;LAZIO 2;LAZIO 2 - P02;LEGA PER SALVINI PREMIER;GIOVANNA MIELE
CAMERA DEI DEPUTATI;LAZIO 2;LAZIO 2 - P02;LEGA PER SALVINI PREMIER;VINCENZO VALLETTA
CAMERA DEI DEPUTATI;LAZIO 2;LAZIO 2 - P02;LEGA PER SALVINI PREMIER;KRISTALIA RACHELE PAPAEVANGELIU
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;LEGA PER SALVINI PREMIER;LUIGI D'ERAMO
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;LEGA PER SALVINI PREMIER;LAURA RAVETTO
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;LEGA PER SALVINI PREMIER;ANTONIO ZENNARO
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;LEGA PER SALVINI PREMIER;MARIA RITA CAROTA
CAMERA DEI DEPUTATI;MOLISE;MOLISE - P01;LEGA PER SALVINI PREMIER;MICHELE MARONE
CAMERA DEI DEPUTATI;MOLISE;MOLISE - P01;LEGA PER SALVINI PREMIER;RITA LISIA COLACI
CAMERA DEI DEPUTATI;CAMPANIA 1;CAMPANIA 1 - P01;LEGA PER SALVINI PREMIER;ROSARIA BORRELLI
CAMERA DEI DEPUTATI;CAMPANIA 1;CAMPANIA 1 - P01;LEGA PER SALVINI PREMIER;NICHOLAS ESPOSITO
CAMERA DEI DEPUTATI;CAMPANIA 1;CAMPANIA 1 - P01;LEGA PER SALVINI PREMIER;TERESA FRECCIARULO
CAMERA DEI DEPUTATI;CAMPANIA 1;CAMPANIA 1 - P01;LEGA PER SALVINI PREMIER;SALVATORE ONOFARO
CAMERA DEI DEPUTATI;CAMPANIA 1;CAMPANIA 1 - P02;LEGA PER SALVINI PREMIER;SEVERINO NAPPI
CAMERA DEI DEPUTATI;CAMPANIA 1;CAMPANIA 1 - P02;LEGA PER SALVINI PREMIER;MARIA CONCETTA DONNARUMMA
CAMERA DEI DEPUTATI;CAMPANIA 1;CAMPANIA 1 - P02;LEGA PER SALVINI PREMIER;ANTONIO FELLONE
CAMERA DEI DEPUTATI;CAMPANIA 1;CAMPANIA 1 - P02;LEGA PER SALVINI PREMIER;ANNA AMBROSINO
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;LEGA PER SALVINI PREMIER;GIANPIERO ZINZI
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;LEGA PER SALVINI PREMIER;ANTONELLA PICCERILLO
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;LEGA PER SALVINI PREMIER;ANTONIO FELLONE
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;LEGA PER SALVINI PREMIER;ANTONELLA LETTIERI
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P02;LEGA PER SALVINI PREMIER;VANNIA GAVA
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P02;LEGA PER SALVINI PREMIER;GIANPIERO ZINZI
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P02;LEGA PER SALVINI PREMIER;MARICA GRANDE
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P02;LEGA PER SALVINI PREMIER;DANTE SANTORO
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P01;LEGA PER SALVINI PREMIER;VANNIA GAVA
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P01;LEGA PER SALVINI PREMIER;JOSEPH SPLENDIDO
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P01;LEGA PER SALVINI PREMIER;MARIANNA PIA NATALE
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P01;LEGA PER SALVINI PREMIER;GIOVANNI DI LEO
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P02;LEGA PER SALVINI PREMIER;REBECCA FRASSINI
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P02;LEGA PER SALVINI PREMIER;ROBERTO MESSINA
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P02;LEGA PER SALVINI PREMIER;ILARIA ANTELMI
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P02;LEGA PER SALVINI PREMIER;DAVIDE VOX
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P03;LEGA PER SALVINI PREMIER;GIACOMO CONSERVA
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P03;LEGA PER SALVINI PREMIER;ILARIA ANTELMI
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P03;LEGA PER SALVINI PREMIER;LUIGI MASTRANGELO
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P03;LEGA PER SALVINI PREMIER;ADRIANA BALESTRA
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P04;LEGA PER SALVINI PREMIER;SALVATORE MARCELLO DI MATTINA
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P04;LEGA PER SALVINI PREMIER;VANNIA GAVA
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P04;LEGA PER SALVINI PREMIER;VITTORIO ZIZZA
CAMERA DEI DEPUTATI;PUGLIA;PUGLIA - P04;LEGA PER SALVINI PREMIER;ILARIA ANTELMI
CAMERA DEI DEPUTATI;BASILICATA;BASILICATA - P01;LEGA PER SALVINI PREMIER;PASQUALE PEPE
CAMERA DEI DEPUTATI;BASILICATA;BASILICATA - P01;LEGA PER SALVINI PREMIER;DONATELLA MERRA
CAMERA DEI DEPUTATI;BASILICATA;BASILICATA - P01;LEGA PER SALVINI PREMIER;PASQUALE CARIELLO
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;LEGA PER SALVINI PREMIER;SIMONA LOIZZO
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;LEGA PER SALVINI PREMIER;GIACOMO FRANCESCO SACCOMANNO
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;LEGA PER SALVINI PREMIER;GRAZIA MARIA CARMELA IANNINI
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;LEGA PER SALVINI PREMIER;NICOLA DANIELE
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;LEGA PER SALVINI PREMIER;ANTONINO MINARDO
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;LEGA PER SALVINI PREMIER;VALERIA CARMELA MARIA SUDANO
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;LEGA PER SALVINI PREMIER;ALESSANDRO SARO ALFONSO PAGANO
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;LEGA PER SALVINI PREMIER;TERESA ALISENA
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;LEGA PER SALVINI PREMIER;ANNALISA TARDINO
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;LEGA PER SALVINI PREMIER;ANTONIO MAZZEO
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;LEGA PER SALVINI PREMIER;GERA DESTRO
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;LEGA PER SALVINI PREMIER;CARMELO PULLARA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P01;LEGA PER SALVINI PREMIER;VALERIA CARMELA MARIA SUDANO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P01;LEGA PER SALVINI PREMIER;MATTEO GIUSEPPE FRANCILIA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P01;LEGA PER SALVINI PREMIER;ANNALISA TARDINO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;LEGA PER SALVINI PREMIER;ANTONINO MINARDO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;LEGA PER SALVINI PREMIER;VALERIA CARMELA MARIA SUDANO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;LEGA PER SALVINI PREMIER;ANASTASIO CARRA'
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;LEGA PER SALVINI PREMIER;ANGELA DAMIGELLA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;LEGA PER SALVINI PREMIER;VALERIA CARMELA MARIA SUDANO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;LEGA PER SALVINI PREMIER;ANTONINO MINARDO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;LEGA PER SALVINI PREMIER;ANNALISA TARDINO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;LEGA PER SALVINI PREMIER;FABIO CANTARELLA
CAMERA DEI DEPUTATI;SARDEGNA;SARDEGNA - P01;LEGA PER SALVINI PREMIER;MICHELINA LUNESU
CAMERA DEI DEPUTATI;SARDEGNA;SARDEGNA - P01;LEGA PER SALVINI PREMIER;GIANFRANCO MARIANO LANCIONI
CAMERA DEI DEPUTATI;SARDEGNA;SARDEGNA - P01;LEGA PER SALVINI PREMIER;GIULIA SOLINAS
CAMERA DEI DEPUTATI;SARDEGNA;SARDEGNA - P01;LEGA PER SALVINI PREMIER;IVAN GIOVANNI CERMELLI
CAMERA DEI DEPUTATI;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - P01;LEGA PER SALVINI PREMIER;DIEGO BINELLI
CAMERA DEI DEPUTATI;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - P01;LEGA PER SALVINI PREMIER;VANESSA CATTOI
CAMERA DEI DEPUTATI;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - P01;LEGA PER SALVINI PREMIER;FILIPPO MATURI
SENATO;PIEMONTE;PIEMONTE - P01;LEGA PER SALVINI PREMIER;MARZIA CASOLATI
SENATO;PIEMONTE;PIEMONTE - P01;LEGA PER SALVINI PREMIER;CESARE PIANASSO
SENATO;PIEMONTE;PIEMONTE - P01;LEGA PER SALVINI PREMIER;DENISE BURDET
SENATO;PIEMONTE;PIEMONTE - P01;LEGA PER SALVINI PREMIER;ROBERTO PILONE
SENATO;PIEMONTE;PIEMONTE - P02;LEGA PER SALVINI PREMIER;MASSIMO GARAVAGLIA
SENATO;PIEMONTE;PIEMONTE - P02;LEGA PER SALVINI PREMIER;MARZIA CASOLATI
SENATO;PIEMONTE;PIEMONTE - P02;LEGA PER SALVINI PREMIER;ERALDO BOTTA
SENATO;PIEMONTE;PIEMONTE - P02;LEGA PER SALVINI PREMIER;GIOVANNA QUAGLIA
SENATO;LOMBARDIA;LOMBARDIA - P01;LEGA PER SALVINI PREMIER;MARIA CRISTINA CANTU'
SENATO;LOMBARDIA;LOMBARDIA - P01;LEGA PER SALVINI PREMIER;PAOLO ARRIGONI
SENATO;LOMBARDIA;LOMBARDIA - P01;LEGA PER SALVINI PREMIER;DAISY PIROVANO
SENATO;LOMBARDIA;LOMBARDIA - P01;LEGA PER SALVINI PREMIER;GIUSEPPE VALDITARA
SENATO;LOMBARDIA;LOMBARDIA - P02;LEGA PER SALVINI PREMIER;MATTEO SALVINI
SENATO;LOMBARDIA;LOMBARDIA - P02;LEGA PER SALVINI PREMIER;GIULIA BONGIORNO
SENATO;LOMBARDIA;LOMBARDIA - P02;LEGA PER SALVINI PREMIER;ALESSANDRO MORELLI
SENATO;LOMBARDIA;LOMBARDIA - P02;LEGA PER SALVINI PREMIER;ANTONELLA FAGGI
