"Coalizione","Dove","Partito","Circoscrizione","Collegio Uninominale","Città principale","Candidato"
"Centrosinistra","Senato","-","Emilia-Romagna","Emilia-Romagna - U03","Bologna","Pier Ferdinando Casini"
"Centrosinistra","Senato","-","Emilia-Romagna","Emilia-Romagna - U04","Ravenna","Manuela Rontini"
"Centrosinistra","Senato","-","Emilia-Romagna","Emilia-Romagna - U05","Rimini","Simona Viola"
"Centrosinistra","Senato","-","Friuli-Venezia Giulia","Friuli-Venezia Giulia - U01","Trieste","Furio Honsell"
"Centrosinistra","Senato","-","Lazio","Lazio - U01","Viterbo","Alessandro Mazzoli"
"Centrosinistra","Senato","-","Lazio","Lazio - U02","Roma: Municipio XIV","Emma Bonino"
"Centrosinistra","Senato","-","Lazio","Lazio - U03","Roma: Municipio V","Andrea Catarci"
"Centrosinistra","Senato","-","Lazio","Lazio - U04","Roma: Municipio VII","Monica Cirinnà"
"Centrosinistra","Senato","-","Lazio","Lazio - U05","Guidonia Montecelio","Serena Gara"
"Centrosinistra","Senato","-","Lazio","Lazio - U06","Latina","Sergio Messore"
"Centrosinistra","Senato","-","Liguria","Liguria - U01","Genova: Municipio VII -
Ponente","Sandra Zampa"
"Centrosinistra","Senato","-","Liguria","Liguria - U02","La Spezia","Guido Melley"
"Centrosinistra","Senato","-","Lombardia","Lombardia - U01","Varese","Orlando Rinaldi"
"Centrosinistra","Senato","-","Lombardia","Lombardia - U02","Como","Aurora Longa"
"Centrosinistra","Senato","-","Lombardia","Lombardia - U03","Milano: NIL 21 - Buenos Aires -
Venezia","Antonio Misiani"
"Centrosinistra","Senato","-","Lombardia","Lombardia - U04","Sesto San Giovanni","Emanuele Fiano"
"Centrosinistra","Senato","-","Lombardia","Lombardia - U05","Cologno Monzese","Adriana Albini"
"Centrosinistra","Senato","-","Lombardia","Lombardia - U06","Monza","Federica Perelli"
"Centrosinistra","Senato","-","Lombardia","Lombardia - U07","Bergamo","Giacomo Angeloni"
"Centrosinistra","Senato","-","Lombardia","Lombardia - U08","Brescia","Rosa Vitale"
"Centrosinistra","Senato","-","Lombardia","Lombardia - U09","Treviglio","Cristina Tedaldi"
"Centrosinistra","Senato","-","Lombardia","Lombardia - U10","Pavia","Valerio Federico"
"Centrosinistra","Senato","-","Lombardia","Lombardia - U11","Cremona","Carlo Cottarelli"
"Centrosinistra","Senato","-","Marche","Marche - U01","Ascoli Piceno","Mirella Gattari"
"Centrosinistra","Senato","-","Marche","Marche - U02","Ancona","Marco Bentivogli"
"Centrosinistra","Senato","-","Molise","Molise - U01","Campobasso","Rossella Gianfagna"
"Centrosinistra","Senato","-","Piemonte","Piemonte - U01","Torino","Andrea Giorgis"
"Centrosinistra","Senato","-","Piemonte","Piemonte - U02","Moncalieri","Elena Apollonio"
"Centrosinistra","Senato","-","Piemonte","Piemonte - U03","Novara","Rossana Pirovano"
"Centrosinistra","Senato","-","Piemonte","Piemonte - U04","Alessandria","Rita Rossa"
"Centrosinistra","Senato","-","Piemonte","Piemonte - U05","Cuneo","Fiammetta Rosso"
"Centrosinistra","Senato","-","Puglia","Puglia - U01","Foggia","Teresa Cicolella"
