"Dove","Regione","Elettori","Votanti","Percentuale votanti","Schede nulle","Schede bianche","Schede contestate","Coalizioni e liste","Voti","Percentuale voti","Seggi","Candidati uninominali eletti","Totale"
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"UNIONE POPOLARE CON DE MAGISTRIS",16341,"2.27",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"ITALEXIT PER L'ITALIA",10044,"1.4",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"ITALIA SOVRANA E POPOLARE",8583,"1.19",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"PARTITO COMUNISTA ITALIANO",4659,"0.65",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"SUD CHIAMA NORD",2426,"0.34",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"PARTITO ANIMALISTA  UCDL  10 VOLTE MEGLIO",2241,"0.31",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"ALTERNATIVA PER L'ITALIA  NO GREEN PASS",1908,"0.27",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"MASTELLA NOI DI CENTRO EUROPEISTI",1662,"0.23",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"VITA",1486,"0.21",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"FORZA DEL POPOLO",815,"0.11",NA,NA,NA
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"MOVIMENTO 5 STELLE",483699,"41.36","6",7,13
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC",314053,"26.86","3",NA,3
"CAMERA","CAMPANIA 1",2379167,1208233,50.78,26916,11845,48,"FRATELLI D'ITALIA CON GIORGIA MELONI",161849,"13.84","2",NA,NA
