Circoscrizione;Collegio Uninominale;Coalizione/lista;Candidato
LAZIO 2;LAZIO 2 - U05;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI;NICOLA OTTAVIANI
LAZIO 2;LAZIO 2 - U05;ITALEXIT PER L'ITALIA;COSMO MAMMOLETTA
LAZIO 2;LAZIO 2 - U05;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;RITA VISINI
LAZIO 2;LAZIO 2 - U05;ITALIA SOVRA E POPOLARE;MAURIZIO RECCHIA
LAZIO 2;LAZIO 2 - U05;AZIONE - ITALIA VIVA - CALENDA;ELISA VENTURO
ABRUZZO;ABRUZZO - U01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;ELISABETTA MERLINO
ABRUZZO;ABRUZZO - U01;SUD CHIAMA NORD;EDDA GIUBERTI
ABRUZZO;ABRUZZO - U01;AZIONE - ITALIA VIVA - CALENDA;GAETANO LUIGI FUIANO
ABRUZZO;ABRUZZO - U01;FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;ALBERTO BAGNAI
ABRUZZO;ABRUZZO - U01;UNIONE POPOLARE CON DE MAGISTRIS;AMANDA DE MENNA
ABRUZZO;ABRUZZO - U01;VITA;DONATO TROVARELLI
ABRUZZO;ABRUZZO - U01;ITALEXIT PER L'ITALIA;GIANNI CORREGGIARI
ABRUZZO;ABRUZZO - U01;ALTERTIVA PER L'ITALIA - NO GREEN PASS;ELENA TONIATO
ABRUZZO;ABRUZZO - U01;MOVIMENTO 5 STELLE;CARMELA GRIPPA
ABRUZZO;ABRUZZO - U01;ITALIA SOVRA E POPOLARE;NOBILE DELL'OREFICE
ABRUZZO;ABRUZZO - U02;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;LUCIANO DI LORITO
ABRUZZO;ABRUZZO - U02;SUD CHIAMA NORD;ROSSELLA SORCE
ABRUZZO;ABRUZZO - U02;AZIONE - ITALIA VIVA - CALENDA;ROBERTO QUERCIA
ABRUZZO;ABRUZZO - U02;FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;GUERINO TESTA
ABRUZZO;ABRUZZO - U02;UNIONE POPOLARE CON DE MAGISTRIS;EMANUELE MANCINELLI
ABRUZZO;ABRUZZO - U02;VITA;ANNA RITA IANNETTI
ABRUZZO;ABRUZZO - U02;ITALEXIT PER L'ITALIA;GIUSTINO D'UVA
ABRUZZO;ABRUZZO - U02;ALTERTIVA PER L'ITALIA - NO GREEN PASS;CLEMENTINO CROSTA
ABRUZZO;ABRUZZO - U02;MOVIMENTO 5 STELLE;DANIELE CARUSO
ABRUZZO;ABRUZZO - U02;ITALIA SOVRA E POPOLARE;LORENZO D'ONOFRIO
ABRUZZO;ABRUZZO - U03;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;RITA INNOCENZI
ABRUZZO;ABRUZZO - U03;SUD CHIAMA NORD;STEFANO D'AMICO
ABRUZZO;ABRUZZO - U03;AZIONE - ITALIA VIVA - CALENDA;EMANUELA PISTOIA
ABRUZZO;ABRUZZO - U03;FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;GIORGIA MELONI
ABRUZZO;ABRUZZO - U03;UNIONE POPOLARE CON DE MAGISTRIS;NICOLA STORNELLI
ABRUZZO;ABRUZZO - U03;VITA;ENEA GIANCATERINO
ABRUZZO;ABRUZZO - U03;ITALEXIT PER L'ITALIA;ARIANNA SALVATORE
ABRUZZO;ABRUZZO - U03;ALTERTIVA PER L'ITALIA - NO GREEN PASS;ALESSANDRA ACCIARO
ABRUZZO;ABRUZZO - U03;MOVIMENTO 5 STELLE;ATTILIO D'ANDREA
ABRUZZO;ABRUZZO - U03;ITALIA SOVRA E POPOLARE;DANIELA FRANCIOSI
MOLISE;MOLISE - U01;ITALIA SOVRA E POPOLARE;GIOVANNI MORIELLO
MOLISE;MOLISE - U01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;ALESSANDRA SALVATORE
MOLISE;MOLISE - U01;FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FRATELLI D'ITALIA CON GIORGIA MELONI;LORENZO CESA
MOLISE;MOLISE - U01;AZIONE - ITALIA VIVA - CALENDA;DONATO D'AMBROSIO
MOLISE;MOLISE - U01;MASTELLA NOI DI CENTRO EUROPEISTI;WILLIAM CIARALLO
MOLISE;MOLISE - U01;UNIONE POPOLARE CON DE MAGISTRIS;HIKMET ASLAN
MOLISE;MOLISE - U01;MOVIMENTO 5 STELLE;RICCARDO DI PALMA
CAMPANIA 1;CAMPANIA 1 - U01;UNIONE POPOLARE CON DE MAGISTRIS;FRANCESCA LICATA
CAMPANIA 1;CAMPANIA 1 - U01;MASTELLA NOI DI CENTRO EUROPEISTI;FRANCESCO SANTORO
CAMPANIA 1;CAMPANIA 1 - U01;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;DOMENICO BRESCIA
CAMPANIA 1;CAMPANIA 1 - U01;MOVIMENTO 5 STELLE;ANTONIO CASO
CAMPANIA 1;CAMPANIA 1 - U01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;FIORELLA ZABATTA
CAMPANIA 1;CAMPANIA 1 - U01;ITALEXIT PER L'ITALIA;SIMONA BOCCUTI
CAMPANIA 1;CAMPANIA 1 - U01;AZIONE - ITALIA VIVA - CALENDA;VINCENZO DANIELE
CAMPANIA 1;CAMPANIA 1 - U01;ITALIA SOVRA E POPOLARE;CARLO COPPOLA
CAMPANIA 1;CAMPANIA 1 - U02;UNIONE POPOLARE CON DE MAGISTRIS;DOMENICO CIRUZZI
CAMPANIA 1;CAMPANIA 1 - U02;MASTELLA NOI DI CENTRO EUROPEISTI;ANGELA BAIANO
CAMPANIA 1;CAMPANIA 1 - U02;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;MARIAROSARIA ROSSI
CAMPANIA 1;CAMPANIA 1 - U02;MOVIMENTO 5 STELLE;SERGIO COSTA
CAMPANIA 1;CAMPANIA 1 - U02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;LUIGI DI MAIO
CAMPANIA 1;CAMPANIA 1 - U02;ITALEXIT PER L'ITALIA;FRANCESCO AMODEO
CAMPANIA 1;CAMPANIA 1 - U02;AZIONE - ITALIA VIVA - CALENDA;MARIA ROSARIA CARFAGNA
CAMPANIA 1;CAMPANIA 1 - U02;ITALIA SOVRA E POPOLARE;ROSA SPADAFORA
CAMPANIA 1;CAMPANIA 1 - U03;UNIONE POPOLARE CON DE MAGISTRIS;LUIGI DE MAGISTRIS
CAMPANIA 1;CAMPANIA 1 - U03;MASTELLA NOI DI CENTRO EUROPEISTI;SALVATORE SCARFIGLIERI
CAMPANIA 1;CAMPANIA 1 - U03;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;GIUSEPPE PECORARO
CAMPANIA 1;CAMPANIA 1 - U03;MOVIMENTO 5 STELLE;DARIO CAROTENUTO
CAMPANIA 1;CAMPANIA 1 - U03;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;FABRIZIO FERRANDELLI
CAMPANIA 1;CAMPANIA 1 - U03;ITALEXIT PER L'ITALIA;PIERPAOLO FONTANA
CAMPANIA 1;CAMPANIA 1 - U03;AZIONE - ITALIA VIVA - CALENDA;CATERINA CERNICCHIARO
CAMPANIA 1;CAMPANIA 1 - U03;ITALIA SOVRA E POPOLARE;MICHELE LIGUORI
CAMPANIA 1;CAMPANIA 1 - U04;UNIONE POPOLARE CON DE MAGISTRIS;GENNARO MALLOZZI
CAMPANIA 1;CAMPANIA 1 - U04;MASTELLA NOI DI CENTRO EUROPEISTI;GIOVANNI PELUSO
CAMPANIA 1;CAMPANIA 1 - U04;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;MONICA MAISTO
CAMPANIA 1;CAMPANIA 1 - U04;MOVIMENTO 5 STELLE;PASQUALINO PENZA
CAMPANIA 1;CAMPANIA 1 - U04;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;VINCENZO SPADAFORA
CAMPANIA 1;CAMPANIA 1 - U04;ITALEXIT PER L'ITALIA;CONSIGLIA MIGLIACCIO
CAMPANIA 1;CAMPANIA 1 - U04;AZIONE - ITALIA VIVA - CALENDA;MARIANNA RICCARDI
CAMPANIA 1;CAMPANIA 1 - U04;ITALIA SOVRA E POPOLARE;MAURIZIO FERRARA
CAMPANIA 1;CAMPANIA 1 - U05;UNIONE POPOLARE CON DE MAGISTRIS;CARMELA CANTONE
CAMPANIA 1;CAMPANIA 1 - U05;MASTELLA NOI DI CENTRO EUROPEISTI;ROSA ERMINIA FIENGA
CAMPANIA 1;CAMPANIA 1 - U05;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;MARIA CONCETTA DONNARUMMA
CAMPANIA 1;CAMPANIA 1 - U05;MOVIMENTO 5 STELLE;CARMELA AURIEMMA
CAMPANIA 1;CAMPANIA 1 - U05;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;PAOLO SIANI
CAMPANIA 1;CAMPANIA 1 - U05;ITALEXIT PER L'ITALIA;GIUSEPPINA ABATE
CAMPANIA 1;CAMPANIA 1 - U05;AZIONE - ITALIA VIVA - CALENDA;VINCENZO ROMANO
CAMPANIA 1;CAMPANIA 1 - U05;ITALIA SOVRA E POPOLARE;LUCIA BARONE
CAMPANIA 1;CAMPANIA 1 - U06;UNIONE POPOLARE CON DE MAGISTRIS;MICHELE LA PIETRA
CAMPANIA 1;CAMPANIA 1 - U06;MASTELLA NOI DI CENTRO EUROPEISTI;IDA STRINGILE
CAMPANIA 1;CAMPANIA 1 - U06;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;MARTA SCHIFONE
CAMPANIA 1;CAMPANIA 1 - U06;MOVIMENTO 5 STELLE;CARMELA DI LAURO
CAMPANIA 1;CAMPANIA 1 - U06;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;ENZO PELUSO
CAMPANIA 1;CAMPANIA 1 - U06;ITALEXIT PER L'ITALIA;SERGIO DELLE DONNE
CAMPANIA 1;CAMPANIA 1 - U06;AZIONE - ITALIA VIVA - CALENDA;GIUSEPPA MARIA PIEDEPALUMBO
CAMPANIA 1;CAMPANIA 1 - U06;ITALIA SOVRA E POPOLARE;ANGELANTONIO STORTI
CAMPANIA 1;CAMPANIA 1 - U07;UNIONE POPOLARE CON DE MAGISTRIS;MARCO MANNA
CAMPANIA 1;CAMPANIA 1 - U07;MASTELLA NOI DI CENTRO EUROPEISTI;GIUSEPPE SORRENTINO
CAMPANIA 1;CAMPANIA 1 - U07;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;ANNARITA PATRIARCA
CAMPANIA 1;CAMPANIA 1 - U07;MOVIMENTO 5 STELLE;GAETANO AMATO
CAMPANIA 1;CAMPANIA 1 - U07;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;ALESSANDRO RUOTOLO
CAMPANIA 1;CAMPANIA 1 - U07;ITALEXIT PER L'ITALIA;STEFANIA AVERSA
CAMPANIA 1;CAMPANIA 1 - U07;AZIONE - ITALIA VIVA - CALENDA;BIANCAMARIA BALZANO
CAMPANIA 1;CAMPANIA 1 - U07;ITALIA SOVRA E POPOLARE;MONICA NATALI
CAMPANIA 2;CAMPANIA 2 - U01;PARTITO COMUNISTA ITALIANO;ANGELA DI FOGGIA
CAMPANIA 2;CAMPANIA 2 - U01;UNIONE POPOLARE CON DE MAGISTRIS;ANTONELLA AVOLIO
CAMPANIA 2;CAMPANIA 2 - U01;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;VINCENZO SANTAGATA
CAMPANIA 2;CAMPANIA 2 - U01;MASTELLA NOI DI CENTRO EUROPEISTI;GAETANO CERRITO
CAMPANIA 2;CAMPANIA 2 - U01;ITALEXIT PER L'ITALIA;SONIA DI CARLUCCIO
CAMPANIA 2;CAMPANIA 2 - U01;MOVIMENTO 5 STELLE;GIUSEPPE BUOMPANE
CAMPANIA 2;CAMPANIA 2 - U01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;BRUNO CALABRESE
CAMPANIA 2;CAMPANIA 2 - U01;AZIONE - ITALIA VIVA - CALENDA;RICCARDO SCALZONE
CAMPANIA 2;CAMPANIA 2 - U01;ITALIA SOVRA E POPOLARE;ANTONIO PORTO
CAMPANIA 2;CAMPANIA 2 - U01;LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;GEROLAMO CANGIANO
CAMPANIA 2;CAMPANIA 2 - U02;PARTITO COMUNISTA ITALIANO;VINCENZO SFORZA
CAMPANIA 2;CAMPANIA 2 - U02;UNIONE POPOLARE CON DE MAGISTRIS;MASSIMO SGROI
CAMPANIA 2;CAMPANIA 2 - U02;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;FRANCESCA TROVATO
CAMPANIA 2;CAMPANIA 2 - U02;MASTELLA NOI DI CENTRO EUROPEISTI;ANDREA MARTUSCIELLO
CAMPANIA 2;CAMPANIA 2 - U02;ITALEXIT PER L'ITALIA;DIEGO RUOCCO
CAMPANIA 2;CAMPANIA 2 - U02;MOVIMENTO 5 STELLE;DANILO DELLA VALLE
CAMPANIA 2;CAMPANIA 2 - U02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;SERGIO ANGRISANO
CAMPANIA 2;CAMPANIA 2 - U02;AZIONE - ITALIA VIVA - CALENDA;TERESA UCCIERO
CAMPANIA 2;CAMPANIA 2 - U02;ITALIA SOVRA E POPOLARE;FRANCESCA MARIANO
CAMPANIA 2;CAMPANIA 2 - U02;LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;CARMEN LETIZIA GIORGIANNI
CAMPANIA 2;CAMPANIA 2 - U03;PARTITO COMUNISTA ITALIANO;GIACOMO BARONE
CAMPANIA 2;CAMPANIA 2 - U03;UNIONE POPOLARE CON DE MAGISTRIS;MARCELLO GIULIANINI
CAMPANIA 2;CAMPANIA 2 - U03;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;ANTONELLA PEPE
CAMPANIA 2;CAMPANIA 2 - U03;MASTELLA NOI DI CENTRO EUROPEISTI;ALESSANDRINA LONARDO MASTELLA
CAMPANIA 2;CAMPANIA 2 - U03;ITALEXIT PER L'ITALIA;CONCETTA ALTIERI
CAMPANIA 2;CAMPANIA 2 - U03;MOVIMENTO 5 STELLE;SABRINA RICCIARDI
CAMPANIA 2;CAMPANIA 2 - U03;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ESMERALDA MAMELI
CAMPANIA 2;CAMPANIA 2 - U03;AZIONE - ITALIA VIVA - CALENDA;ANTONIO DEL MESE
CAMPANIA 2;CAMPANIA 2 - U03;ITALIA SOVRA E POPOLARE;MICAELAMARIA SALOMONE MEGNA
CAMPANIA 2;CAMPANIA 2 - U03;LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;FRANCESCO MARIA RUBANO
CAMPANIA 2;CAMPANIA 2 - U04;VITA;STELLA MACCARIO
CAMPANIA 2;CAMPANIA 2 - U04;UNIONE POPOLARE CON DE MAGISTRIS;PAOLO VITTORIA
CAMPANIA 2;CAMPANIA 2 - U04;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;MAURIZIO PETRACCA
CAMPANIA 2;CAMPANIA 2 - U04;MASTELLA NOI DI CENTRO EUROPEISTI;GUERINO GAZZELLA
CAMPANIA 2;CAMPANIA 2 - U04;ITALEXIT PER L'ITALIA;ROSARIO ROCCO DEL PRIORE
CAMPANIA 2;CAMPANIA 2 - U04;MOVIMENTO 5 STELLE;MICHELE GUBITOSA
CAMPANIA 2;CAMPANIA 2 - U04;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;LUCIO JANNIELLO
CAMPANIA 2;CAMPANIA 2 - U04;AZIONE - ITALIA VIVA - CALENDA;STEFANO FARINA
CAMPANIA 2;CAMPANIA 2 - U04;ITALIA SOVRA E POPOLARE;RAFFAELLA DE FILIPPO
CAMPANIA 2;CAMPANIA 2 - U04;LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;GIANFRANCO ROTONDI
CAMPANIA 2;CAMPANIA 2 - U05;VITA;STEFANIA GIANNATTASIO
CAMPANIA 2;CAMPANIA 2 - U05;UNIONE POPOLARE CON DE MAGISTRIS;ERMINIA MAIORINO
CAMPANIA 2;CAMPANIA 2 - U05;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;PAOLA LANZARA
CAMPANIA 2;CAMPANIA 2 - U05;MASTELLA NOI DI CENTRO EUROPEISTI;VINCENZO TREZZA
CAMPANIA 2;CAMPANIA 2 - U05;ITALEXIT PER L'ITALIA;FRANCESCO METROPOLI
CAMPANIA 2;CAMPANIA 2 - U05;MOVIMENTO 5 STELLE;VIRGINIA VILLANI
CAMPANIA 2;CAMPANIA 2 - U05;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;PASQUALE SORRENTINO
CAMPANIA 2;CAMPANIA 2 - U05;AZIONE - ITALIA VIVA - CALENDA;IMMA ZINNIA
CAMPANIA 2;CAMPANIA 2 - U05;ITALIA SOVRA E POPOLARE;MARIO SOMMELLA
CAMPANIA 2;CAMPANIA 2 - U05;LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;MARIA IMMACOLATA VIETRI
CAMPANIA 2;CAMPANIA 2 - U06;VITA;FRANCESCO FORTE
CAMPANIA 2;CAMPANIA 2 - U06;UNIONE POPOLARE CON DE MAGISTRIS;SIMONA LIBERA SCOCOZZA
CAMPANIA 2;CAMPANIA 2 - U06;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;FULVIO BONAVITACOLA
CAMPANIA 2;CAMPANIA 2 - U06;MASTELLA NOI DI CENTRO EUROPEISTI;ORESTE AGOSTO
CAMPANIA 2;CAMPANIA 2 - U06;ITALEXIT PER L'ITALIA;CRISTINA COCCIA
CAMPANIA 2;CAMPANIA 2 - U06;MOVIMENTO 5 STELLE;GIUSEPPE BENEVENTO
CAMPANIA 2;CAMPANIA 2 - U06;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;GENNARO SAMMARTINO
CAMPANIA 2;CAMPANIA 2 - U06;AZIONE - ITALIA VIVA - CALENDA;CORRADO NADDEO
CAMPANIA 2;CAMPANIA 2 - U06;ITALIA SOVRA E POPOLARE;GENNARO NENNA
CAMPANIA 2;CAMPANIA 2 - U06;LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;GIUSEPPE BICCHIELLI
CAMPANIA 2;CAMPANIA 2 - U07;VITA;GIUSEPPINA LETTIERI
CAMPANIA 2;CAMPANIA 2 - U07;UNIONE POPOLARE CON DE MAGISTRIS;NAZZARIO MATARAZZO
CAMPANIA 2;CAMPANIA 2 - U07;ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA;LUCA CASCONE
CAMPANIA 2;CAMPANIA 2 - U07;MASTELLA NOI DI CENTRO EUROPEISTI;GENNARO CIOCIANO
CAMPANIA 2;CAMPANIA 2 - U07;ITALEXIT PER L'ITALIA;FRANCESCA MARI
CAMPANIA 2;CAMPANIA 2 - U07;MOVIMENTO 5 STELLE;DARIO VASSALLO
CAMPANIA 2;CAMPANIA 2 - U07;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;VINCENZO BOTTA
CAMPANIA 2;CAMPANIA 2 - U07;AZIONE - ITALIA VIVA - CALENDA;ELVIRA SERRA
CAMPANIA 2;CAMPANIA 2 - U07;ITALIA SOVRA E POPOLARE;SONIA ROMANO
CAMPANIA 2;CAMPANIA 2 - U07;LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;ATTILIO PIERRO
PUGLIA;PUGLIA - U01;UNIONE POPOLARE CON DE MAGISTRIS;IVANA PALIERI
PUGLIA;PUGLIA - U01;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;EUGENIA MARIA ROCCELLA
PUGLIA;PUGLIA - U01;ITALIA SOVRA E POPOLARE;ROBERTO DE ROSA
PUGLIA;PUGLIA - U01;MOVIMENTO 5 STELLE;MARCO PELLEGRINI
PUGLIA;PUGLIA - U01;ITALEXIT PER L'ITALIA;CARMELA MARIA ELISABETTA LA NOTTE
PUGLIA;PUGLIA - U01;+EUROPA,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;VALENTINA LUCIANETTI
PUGLIA;PUGLIA - U01;AZIONE - ITALIA VIVA - CALENDA;SAVINO DANARO
PUGLIA;PUGLIA - U02;UNIONE POPOLARE CON DE MAGISTRIS;MICHELE DEL SORDO
PUGLIA;PUGLIA - U02;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;GIACOMO DIEGO GATTA
PUGLIA;PUGLIA - U02;ITALIA SOVRA E POPOLARE;ANNA CHIARA FRACCACRETA
PUGLIA;PUGLIA - U02;MOVIMENTO 5 STELLE;FABRIZIO MARRAZZO
PUGLIA;PUGLIA - U02;ITALEXIT PER L'ITALIA;FRANCESCO FERRARO
PUGLIA;PUGLIA - U02;+EUROPA,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;RAFFAELE PIEMONTESE
PUGLIA;PUGLIA - U02;AZIONE - ITALIA VIVA - CALENDA;CHIARA D'ERRICO
PUGLIA;PUGLIA - U03;UNIONE POPOLARE CON DE MAGISTRIS;ANNA MARIA STERNATIVO
PUGLIA;PUGLIA - U03;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;MARIANGELA MATERA
PUGLIA;PUGLIA - U03;ITALIA SOVRA E POPOLARE;ROBERTO CARDILLI
PUGLIA;PUGLIA - U03;MOVIMENTO 5 STELLE;ANGELA ANNA BRUNA PIARULLI
PUGLIA;PUGLIA - U03;ITALEXIT PER L'ITALIA;ANTONIO PICA
PUGLIA;PUGLIA - U03;+EUROPA,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SABINO ZINNI
PUGLIA;PUGLIA - U03;AZIONE - ITALIA VIVA - CALENDA;GENNARO ANTONIO ROCIOLA
PUGLIA;PUGLIA - U04;UNIONE POPOLARE CON DE MAGISTRIS;SABINO DE RAZZA
PUGLIA;PUGLIA - U04;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;RITA DALLA CHIESA
PUGLIA;PUGLIA - U04;ITALIA SOVRA E POPOLARE;DONATELLA BELLOMO
